Data,Abrir,Alto,Baixo,Fechar,Adj Fechar,Volume
9 de setembro de 2025,"169,09","170,98","166,74","170,75","170,74",157.548.400
8 de setembro de 2025,"167,55","170,96","167,35","168,31","168,29",163.769.100
5 de setembro de 2025,"168,03","169,03","164,07","167,02",167,224.441.400
4 de setembro de 2025,"170,57","171,86","169,41","171,66","171,64",141.670.100
3 de setembro de 2025,"171,06","172,41","168,88","170,62","170,6",164.424.900
2 de setembro de 2025,170,"172,38","167,22","170,78","170,76",231.164.900
29 de agosto de 2025,"178,11","178,15","173,15","174,18","174,16",243.257.900
28 de agosto de 2025,"180,82","184,47","176,41","180,17","180,15",281.787.800
27 de agosto de 2025,"181,98","182,49","179,1","181,6","181,58",235.518.900
26 de agosto de 2025,"180,06","182,39","178,81","181,77","181,75",168.688.200
25 de agosto de 2025,"178,35","181,91","176,57","179,81","179,79",163.012.800
22 de agosto de 2025,"172,61","178,59","171,2","177,99","177,97",172.789.400
21 de agosto de 2025,"174,85","176,9","173,81","174,98","174,96",140.040.900
20 de agosto de 2025,"175,17",176,"168,8","175,4","175,38",215.142.700
19 de agosto de 2025,"182,43","182,5","175,49","175,64","175,62",185.229.200
18 de agosto de 2025,"180,6","182,94","180,59","182,01","181,99",132.008.000
15 de agosto de 2025,"181,88","181,9","178,04","180,45","180,43",156.602.200
14 de agosto de 2025,"179,75","183,02","179,46","182,02",182,129.554.000
13 de agosto de 2025,"182,62","183,97","179,35","181,59","181,57",179.871.700
12 de agosto de 2025,"182,96","184,48","179,46","183,16","183,14",145.485.700
11 de agosto de 2025,"182,05","183,84","180,25","182,06","182,04",138.323.200
8 de agosto de 2025,"181,55","183,3","180,4","182,7","182,68",123.396.700
7 de agosto de 2025,"181,57","183,88","178,8","180,77","180,75",151.878.400
6 de agosto de 2025,"176,33","179,9","176,25","179,42","179,4",137.192.300
5 de agosto de 2025,"179,62","180,26","175,9","178,26","178,24",156.407.600
4 de agosto de 2025,"175,16","180,2","174,52",180,"179,98",148.174.600
1 de agosto de 2025,"174,09","176,54","170,89","173,72","173,7",204.529.000
31 de julho de 2025,"182,9","183,3","175,93","177,87","177,85",221.685.400
30 de julho de 2025,"176,51","179,89","176,04","179,27","179,25",174.312.200
29 de julho de 2025,"177,96","179,38","175,02","175,51","175,49",154.077.500
28 de julho de 2025,"174,02",177,"173,97","176,75","176,73",140.023.500
25 de julho de 2025,"173,61","174,72","172,96","173,5","173,48",122.316.800
24 de julho de 2025,"172,44","173,83","171,3","173,74","173,72",128.984.600
23 de julho de 2025,"169,53","171,26","167,97","170,78","170,76",154.082.200
22 de julho de 2025,"171,34","171,39","164,58","167,03","167,01",193.114.300
21 de julho de 2025,"172,75","173,38",171,"171,38","171,36",123.125.100
18 de julho de 2025,"173,64","174,25","171,26","172,41","172,39",146.456.400
17 de julho de 2025,"172,02","174,16","170,83",173,"172,98",160.841.100
16 de julho de 2025,"171,06","171,75","168,9","171,37","171,35",158.831.500
15 de julho de 2025,"171,19","172,4","169,2","170,7","170,68",230.627.400
14 de julho de 2025,"165,37","165,49","162,02","164,07","164,05",136.975.800
11 de julho de 2025,"163,72","167,89","163,47","164,92","164,9",193.633.300
10 de julho de 2025,"164,32","164,5","161,61","164,1","164,08",167.704.100
